date,data,url,,
2013-12-18,Positive on export-focused companies like Bharat Forge or Motherson Sumi: Jitendra Sriram,https://economictimes.indiatimes.com/markets/stocks/views/recommendations/positive-on-export-focused-companies-like-bharat-forge-or-motherson-sumi-jitendra-sriram/articleshow/27584093.cms,,
2012-11-20,Sell Bharat Forge with a stop loss above Rs 255: Rajat Bose,https://economictimes.indiatimes.com/markets/stocks/views/recommendations/sell-bharat-forge-with-a-stop-loss-above-rs-255-rajat-bose/articleshow/17292186.cms,,
2015-04-29,"Make in India: Bharat Forge & Punj Lloyd in race for Rs 16,800 crore contract to make anti-aircraft guns",https://economictimes.indiatimes.com/news/india-unlimited/make-in-india/make-in-india-bharat-forge-punj-lloyd-in-race-for-rs-16800-crore-contract-to-make-anti-aircraft-guns/articleshow/47233720.cms,,
2014-01-13,Bharat Forge divests stake in Chinese JV for over Rs 175 cr,https://economictimes.indiatimes.com/industry/auto/news/auto-components/bharat-forge-divests-stake-in-chinese-jv-for-over-rs-175-cr/articleshow/28739250.cms,,
2015-10-30,"Expect Q3 to be better than Q2 in terms of earnings: Amit Kalyani, Bharat Forge",https://economictimes.indiatimes.com/opinion/interviews/expect-q3-to-be-better-than-q2-in-terms-of-earnings-amit-kalyani-bharat-forge/articleshow/49593260.cms,,
2012-04-18,Go long on Bharat Forge if it breaks above 332: Mitesh Thacker,https://economictimes.indiatimes.com/markets/stocks/views/recommendations/go-long-on-bharat-forge-if-it-breaks-above-332-mitesh-thacker/articleshow/12716738.cms,,
2012-11-02,"Calculus: Slowdown in automotive, industrial sectors hurts Bharat Forge",https://economictimes.indiatimes.com/markets/stocks/stocks-in-news/calculus-slowdown-in-automotive-industrial-sectors-hurts-bharat-forge/articleshow/17055756.cms,,
2014-09-25,Alstom Bharat Forge Power signs 130 million euro contract with NTPC,https://economictimes.indiatimes.com/industry/energy/power/alstom-bharat-forge-power-signs-130-million-euro-contract-with-ntpc/articleshow/43437432.cms,,
2013-08-08,"Bharat Forge to see more momentum going
forward: Prakash Diwan",https://economictimes.indiatimes.com/markets/stocks/views/recommendations/bharat-forge-to-see-more-momentum-goingforward-prakash-diwan/articleshow/21706503.cms,,
2016-08-08,ET Analysis: Optimism on Bharat Forge may not be sustainable,https://economictimes.indiatimes.com/markets/stocks/news/et-analysis-optimism-on-bharat-forge-may-not-be-sustainable/articleshow/53590020.cms,,
2016-03-22,Airbus in talks with Bharat Forge and M&M to forge some of its parts in India,https://economictimes.indiatimes.com/industry/transportation/airlines-/-aviation/airbus-in-talks-with-bharat-forge-and-mm-to-forge-some-of-its-parts-in-india/articleshow/51504357.cms,,
2012-04-24,Alstom Bharat Forge JV bags Rs 1570 cr NTPC order,https://economictimes.indiatimes.com/news/news-by-industry/energy/power/alstom-bharat-forge-jv-bags-rs-1570-cr-ntpc-order/articleshow/12852380.cms,,
2015-03-26,"Bullish on Bharat Forge and Tree House in current scenario: Avinnash Gorakssakar, Miintdirect.com",https://economictimes.indiatimes.com/opinion/interviews/bullish-on-bharat-forge-and-tree-house-in-current-scenario-avinnash-gorakssakar-miintdirectcom/articleshow/46703061.cms,,
2011-05-25,Bharat Forge shares up on quarterly results,https://economictimes.indiatimes.com/markets/stocks/stocks-in-news/bharat-forge-shares-up-on-quarterly-results/articleshow/8565775.cms,,
2017-07-28,"Buy  Bharat Forge, target Rs  1,175:   Shrikant Chouhan",https://economictimes.indiatimes.com/markets/stocks/recos/buy-bharat-forge-target-rs-1175-shrikant-chouhan/articleshow/59805494.cms,,
2013-08-23,We should be able to see levels closer to around 245-250 zones on Bharat Forge: Prakash Gaba,https://economictimes.indiatimes.com/markets/stocks/views/recommendations/we-should-be-able-to-see-levels-closer-to-around-245-250-zones-on-bharat-forge-prakash-gaba/articleshow/21997051.cms,,
2012-01-04,"Reliance Industries, Bharat Forge, Bajaj Auto and other exporters to get e-refund of tax paid on input services",https://economictimes.indiatimes.com/news/economy/foreign-trade/reliance-industries-bharat-forge-bajaj-auto-and-other-exporters-to-get-e-refund-of-tax-paid-on-input-services/articleshow/11356944.cms,,
2013-09-06,"Auto sector facing challenges on demand side: Baba Kalyani, Bharat Forge",https://economictimes.indiatimes.com/opinion/interviews/auto-sector-facing-challenges-on-demand-side-baba-kalyani-bharat-forge/articleshow/22367398.cms,,
2016-06-22,"Brexit jitters drag shares of Tata Motors, Bharat Forge",https://economictimes.indiatimes.com/markets/stocks/news/brexit-jitters-drag-shares-of-tata-motors-bharat-forge/articleshow/52870002.cms,,
